Date, Unit, Workout Type, Bodyweight, Squat Weight, Squat Sets Completed, Squat Reps, Press Weight, Press Sets Completed, Press Reps, Bench Weight, Bench Sets Completed, Bench Reps, Deadlift Weight, Deadlift Sets Completed, Deadlift Reps, Power Clean Weight, Power Clean Sets Completed, Power Clean Reps, Chinup Weight, Chinup Sets Completed, Chinup Reps, Notes
2019-10-11,kgs,b,97,150,3,555,,,,85,3,555,,,,70,5,33333,10,3,,"Notes"
2019-10-16,kgs,a,97,140,3,555,55,3,555,,,,165,1,5,,,,,,,"Notes"
2019-10-19,kgs,b,97,150,2,555,,,,87.5,3,555,,,,72.5,5,33333,15,3,,"140 x 5"
2019-10-21,kgs,a,98,150,2,550,57.5,3,555,,,,180,1,5,,,,,,,"Notes"
2019-10-24,kgs,b,98,150,3,555,,,,90,1,454,,,,75,3,33322,17.5,0,,"Notes"
2019-10-29,kgs,a,98,140,3,555,50,3,555,,,,165,1,5,,,,,,,"Notes"
2019-11-05,kgs,b,98,142.5,3,555,,,,90,2,550,170,1,5,,,,17.5,0,,"DL x 7"
2019-11-09,kgs,a,97.3,140,3,555,52.5,3,555,,,,170,1,5,,,,,,,"1x145
Hook"
2019-11-14,kgs,b,97.3,150,3,555,,,,90,1,500,175,1,5,,,,17.5,0,,"SQ ok
BP bad
DL ok hook"
2019-12-15,kgs,a,97.3,120,3,555,40,3,555,,,,150,1,5,,,,,,,""
2019-12-30,kgs,a,97.3,120,3,555,40,3,555,,,,150,1,5,,,,,,,""
2020-01-07,kgs,a,95,130,3,555,42.5,3,555,,,,160,1,5,,,,,,,"Notes"
2020-01-10,kgs,b,95,135,3,555,,,,80,3,555,160,1,5,,,,,,,"DB press 3 x 5 (24, 26, 28?)"
2020-01-14,kgs,a,95,140,3,555,50,3,555,,,,165,1,5,,,,,,,"DL 1x7
DB bench 3x5 (26)"
2020-01-21,kgs,b,95,142.5,3,555,52.5,3,555,,,,170,1,5,,,,,,,"Notes"
2020-01-31,kgs,a,95,140,1,500,,,,90,1,505,170,1,5,,,,,,,"Notes"
2020-02-09,kgs,b,96,140,3,555,,,,87.5,3,555,170,1,5,,,,,,,"DL x 7"
2020-02-16,kgs,a,96,140,3,555,55,3,555,,,,175,1,5,,,,,,,"Notes"
2020-02-19,kgs,b,96,152.5,1,500,,,,90,0,000,180,1,5,,,,,,,"Notes"
2020-03-01,kgs,a,96,140,0,444,60,1,500,,,,160,1,5,,,,,,,"Notes"
2020-06-12,kgs,a,89,120,3,555,40,3,555,,,,140,1,5,,,,,,,"Notes"
2020-06-23,kgs,a,88.5,122.5,3,555,42.5,0,000,,,,145,1,5,,,,,,,"Notes"
2020-06-29,kgs,b,88.5,130,3,555,,,,70,3,555,150,1,5,,,,0,3,,"Notes"
2020-07-01,kgs,a,89,132.5,3,555,42.5,3,555,,,,155,1,5,,,,,,,"Notes"
