Date, Unit, Workout Type, Bodyweight, Squat Weight, Squat Sets Completed, Squat Reps, Press Weight, Press Sets Completed, Press Reps, Bench Weight, Bench Sets Completed, Bench Reps, Deadlift Weight, Deadlift Sets Completed, Deadlift Reps, Power Clean Weight, Power Clean Sets Completed, Power Clean Reps, Chinup Weight, Chinup Sets Completed, Chinup Reps, Back Ext Weight, Back Ext Sets Completed, Back Ext Reps, Light Squat Weight, Light Squat Sets Completed, Light Squat Reps, Notes, Training Level
2019-03-02,kgs,a,95.8,135,3,555,55,3,555,,,,180,1,5,,,,,,,,,,,,,"",3
2019-03-05,kgs,b,95.8,140,3,555,,,,85,3,555,,,,67.5,5,33333,12.5,3,555,,,,,,,"",3
2019-03-08,kgs,a,95.8,142.5,3,555,57.5,3,555,,,,185,0,1,,,,,,,,,,,,,"+ 160 x 5",3
2019-03-11,kgs,b,96,145,3,555,,,,87.5,3,555,,,,50,5,33333,15,3,555,,,,,,,"4&5 70 kg 5s btw reps",3
2019-04-13,kgs,a,96,110,3,555,50,3,555,,,,140,1,5,,,,,,,,,,,,,"",3
2019-05-11,kgs,a,96,120,3,555,52.5,0,000,,,,140,1,5,,,,,,,,,,,,,"Bench 80x5",3
2019-05-13,kgs,b,96,80,3,555,,,,90,0,000,,,,52.5,0,00000,17.5,9,0,,,,,,,"Front squat",3
2019-05-15,kgs,a,96,130,3,555,50,3,555,,,,160,1,5,,,,,,,,,,,,,"",3
2019-06-05,kgs,a,96,130,1,500,52.5,0,000,,,,160,1,5,,,,,,,,,,,,,"Bench 80",3
2019-06-27,kgs,a,96,135,3,555,55,3,555,,,,170,0,4,,,,,,,,,,,,,"row 90 x 7 x 3",3
2019-07-23,kgs,a,96,125,3,555,55,3,555,,,,165,0,2,,,,,,,,,,,,,"Notes",3
2019-07-27,kgs,b,96,130,3,555,,,,80,3,555,,,,95,5,33333,17.5,9,0,,,,,,,"Row",3
2019-07-29,kgs,a,96,135,3,555,57.5,3,555,,,,160,1,5,,,,,,,,,,,,,"3. 132.5 kg
3. x 4, 4. 50 kg
1. x 7
",3
2019-07-31,kgs,b,96,140,1,500,,,,82.5,3,555,,,,100,0,33300,17.5,9,0,,,,,,,"SQ: 140,125,125
BCH: 82.5
ROW: 100",3
2019-08-05,kgs,a,95,140,2,550,60,3,555,,,,165,1,5,,,,,,,,,,,,,"SQ: 2x140 1x130
Vino: 30",3
2019-08-07,kgs,b,95,125,3,555,,,,75,3,555,,,,90,5,33333,17.5,9,0,,,,,,,"SQ: 2x5, 1x7
BP: Pins
Row",3
2019-08-12,kgs,a,95,140,3,555,62.5,1,545,,,,170,1,5,,,,,,,,,,,,,"Notes",3
2019-08-14,kgs,b,95,130,3,555,,,,90,2,554,100,1,5,,,,17.5,9,0,,,,,,,"Row for DL",3
2019-08-17,kgs,a,95,142.5,3,555,62.5,3,555,,,,180,1,5,,,,,,,,,,,,,"",3
2019-09-03,kgs,b,95,130,3,555,,,,85,3,555,165,0,3,,,,15,3,555,,,,,,,"Notes",3
2019-09-10,kgs,a,95,140,2,555,60,1,550,,,,,,,60,5,33333,,,,,,,,,,"SQ 1x 130
PR 2x 50
PC 2x 70",3
2019-09-17,kgs,b,95,130,3,555,,,,80,3,555,165,1,5,,,,17.5,9,0,,,,,,,"Notes",3
2019-09-19,kgs,a,95,140,3,555,60,3,555,,,,,,,65,5,33333,,,,,,,,,,"SQ: 2x135
PR: 1xpush press

DIP: 15 kg",3
2019-09-21,kgs,b,95,142.5,3,555,62.5,1,454,,,,180,1,5,,,,17.5,2,553,,,,,,,"SQ ok
PR 62,5 x 4, 60 x 5, 50 x 5
DL mix 180 x 5, hook 140 x 2",3
2019-10-02,kgs,a,95,145,3,555,60,3,555,,,,190,0,3,,,,,,,,,,,,,"Notes",3
2019-10-04,kgs,b,97,130,3,555,,,,82.5,3,555,,,,67.5,5,33333,15,3,555,,,,,,,"Notes",3
2019-10-09,kgs,a,97,147.5,3,555,62.5,2,555,,,,182.5,0,3,,,,,,,,,,,,,"Notes",3
2019-10-11,kgs,b,97,150,3,555,,,,85,3,555,,,,70,5,33333,10,3,555,,,,,,,"Notes",3
2019-10-16,kgs,a,97,140,3,555,55,3,555,,,,165,1,5,,,,,,,,,,,,,"Notes",3
2019-10-19,kgs,b,97,150,2,555,,,,87.5,3,555,,,,72.5,5,33333,15,3,555,,,,,,,"140 x 5",3
2019-10-21,kgs,a,98,150,2,550,57.5,3,555,,,,180,1,5,,,,,,,,,,,,,"Notes",3
2019-10-24,kgs,b,98,150,3,555,,,,90,1,454,,,,75,3,33322,17.5,9,0,,,,,,,"Notes",3
2019-10-29,kgs,a,98,140,3,555,50,3,555,,,,165,1,5,,,,,,,,,,,,,"Notes",3
2019-11-05,kgs,b,98,142.5,3,555,,,,90,2,550,170,1,5,,,,17.5,9,0,,,,,,,"DL x 7",3
2019-11-09,kgs,a,97.3,140,3,555,52.5,3,555,,,,170,1,5,,,,,,,,,,,,,"1x145
Hook",3
2019-11-14,kgs,b,97.3,150,3,555,,,,90,1,500,175,1,5,,,,17.5,9,0,,,,,,,"SQ ok
BP bad
DL ok hook",3
2019-12-15,kgs,a,97.3,120,3,555,40,3,555,,,,150,1,5,,,,,,,,,,,,,"",3
2019-12-30,kgs,a,97.3,120,3,555,40,3,555,,,,150,1,5,,,,,,,,,,,,,"",3
2020-01-07,kgs,a,95,130,3,555,42.5,3,555,,,,160,1,5,,,,,,,,,,,,,"Notes",3
2020-01-10,kgs,b,95,135,3,555,,,,80,3,555,160,1,5,,,,,,,,,,,,,"DB press 3 x 5 (24, 26, 28?)",3
2020-01-14,kgs,a,95,140,3,555,50,3,555,,,,165,1,5,,,,,,,,,,,,,"DL 1x7
DB bench 3x5 (26)",3
2020-01-21,kgs,b,95,142.5,3,555,52.5,3,555,,,,170,1,5,,,,,,,,,,,,,"Notes",3
2020-01-31,kgs,a,95,140,1,500,,,,90,1,505,170,1,5,,,,,,,,,,,,,"Notes",3
2020-02-09,kgs,b,96,140,3,555,,,,87.5,3,555,170,1,5,,,,,,,,,,,,,"DL x 7",3
2020-02-16,kgs,a,96,140,3,555,55,3,555,,,,175,1,5,,,,,,,,,,,,,"Notes",3
2020-02-19,kgs,b,96,152.5,1,500,,,,90,0,000,180,1,5,,,,,,,,,,,,,"Notes",3
2020-03-01,kgs,a,96,140,0,444,60,1,500,,,,160,1,5,,,,,,,,,,,,,"Notes",3
2020-06-12,kgs,a,89,120,3,555,40,3,555,,,,140,1,5,,,,,,,,,,,,,"Notes",3
2020-06-23,kgs,a,88.5,122.5,3,555,42.5,0,000,,,,145,1,5,,,,,,,,,,,,,"Notes",3
2020-06-29,kgs,b,88.5,130,3,555,,,,70,3,555,150,1,5,,,,0,3,555,,,,,,,"Notes",3
2020-07-01,kgs,a,89,132.5,3,555,42.5,3,555,,,,155,1,5,,,,,,,,,,,,,"Notes",3
2020-07-03,kgs,b,89,135,3,555,,,,72.5,3,555,160,0,4,,,,0,3,555,,,,,,,"Notes",3
2020-07-17,kgs,a,91,137.5,3,555,45,3,555,,,,160,1,5,,,,5,3,555,,,,,,,"Notes",3
2020-07-28,kgs,b,91,140,1,550,,,,75,3,555,120,1,5,,,,10,3,555,,,,,,,"Notes",3
2020-08-04,kgs,a,90,140,3,555,47.5,3,555,,,,160,1,5,,,,,,,,,,,,,"Notes",3
2020-08-06,kgs,b,90,130,1,530,,,,80,3,555,,,,60,5,33333,12.5,3,555,,,,,,,"Notes",3
2020-08-19,kgs,a,92,120,3,555,50,3,555,,,,160,1,5,,,,15,3,555,,,,,,,"Notes",3
2020-08-21,kgs,b,93,122.5,3,555,,,,82.5,3,555,,,,62.5,5,33333,15,3,555,,,,,,,"Notes",3
2020-08-26,kgs,a,93,140,3,555,52.5,3,555,,,,160,1,5,,,,15,3,555,,,,,,,"Press 5x5",3
2020-08-31,kgs,b,93,120,3,555,,,,85,3,555,,,,65,5,33333,15,3,555,,,,,,,"Dips!!",3
2020-09-04,kgs,a,93,122.5,3,555,55,3,555,,,,165,1,5,,,,0,3,555,,,,,,,"Pullups",3
2020-09-08,kgs,b,93,125,3,555,,,,87.5,3,555,,,,67.5,5,33333,15,3,555,,,,,,,"Dips",3
2020-09-13,kgs,a,93,127.5,3,555,57.5,3,555,,,,170,1,5,,,,17.5,9,0,,,,,,,"Notes",3
2020-09-15,kgs,b,93,130,3,555,,,,90,3,555,,,,70,5,33333,10,3,555,,,,,,,"Pullups",3
2020-09-17,kgs,a,93,132.5,3,555,60,3,555,,,,170,1,5,,,,15,3,555,,,,,,,"Dips",3
2020-09-21,kgs,b,93,135,3,555,,,,92.5,3,555,,,,70,5,33333,12.5,3,555,,,,,,,"Pullups",3
2020-09-25,kgs,a,93,137.5,0,000,62.5,3,555,,,,60,1,5,,,,0,3,555,,,,,,,"Leg press 240 kg",3
2020-09-28,kgs,b,95,130,3,555,,,,95,3,555,,,,50,5,33333,0,3,555,,,,,,,"Notes",3
2020-09-30,kgs,a,95,140,3,555,65,3,555,,,,170,1,5,,,,15,3,555,,,,,,,"Dips",3
2020-10-04,kgs,b,95,150,1,500,,,,97.5,3,555,,,,70,5,33333,17.5,9,0,,,,,,,"Notes",3
2020-10-06,kgs,a,95,150,2,554,60,3,555,,,,175,1,5,,,,10,3,555,,,,,,,"& dips",3
2022-06-01,kgs,a,90,110,3,555,50,3,555,,,,135,1,5,,,,,,,,,,,,,"Notes",3
2022-06-05,kgs,b,90,112.5,3,555,,,,67.5,3,555,140,1,5,,,,,,,,,,,,,"Notes",3
2022-06-08,kgs,a,90,115,3,555,52.5,3,555,,,,145,1,5,,,,,,,,,,,,,"Notes",3
2022-06-12,kgs,b,90,117.5,3,555,,,,70,3,555,150,1,5,,,,,,,,,,,,,"Notes",3
2022-06-17,kgs,a,90,120,3,555,55,3,555,,,,155,1,5,,,,,,,,,,,,,"Notes",3
2022-06-19,kgs,b,90,122.5,3,555,,,,72.5,3,555,,,,60,5,33333,,,,,,,,,,"Notes",5
2022-06-22,kgs,a,90,125,3,555,56.25,3,555,,,,160,1,5,,,,,,,,,,,,,"Press 5-5-4-1",5
2022-06-27,kgs,a,90,127.5,3,555,,,,75,3,555,165,1,5,,,,,,,,,,,,,"Notes",5
2022-06-29,kgs,a,90,130,3,555,57.5,3,555,,,,,,,62.5,0,00000,,,,,,,,,,"Press 5-3-1-1-3-1-1",5
2022-07-16,kgs,b,90,120,3,555,50,3,555,,,,145,1,5,,,,,,,,,,,,,"Notes",5
2022-07-19,kgs,a,90,125,3,555,51.25,0,000,,,,147.5,1,5,,,,,,,,,,,,,"Notes",5
2022-07-30,kgs,b,90,120,3,555,55,3,555,,,,150,1,5,,,,,,,,,,,,,"Notes",5
2022-07-31,kgs,a,90,122.5,0,000,,,,70,3,555,152.5,0,0,,,,,,,,,,,,,"Notes",5
2022-08-01,kgs,b,90,130,3,555,,,,72.5,0,000,160,1,5,,,,,,,,,,,,,"Notes",5
2022-08-03,kgs,a,90,132.5,3,555,57.5,3,555,,,,165,1,5,,,,,,,,,,,,,"Notes",5
2022-08-05,kgs,b,90,135,3,555,,,,75,3,555,170,1,5,,,,,,,,,,,,,"Notes",5
2022-08-08,kgs,a,90,137.5,3,555,58.75,3,555,,,,172.5,1,5,,,,,,,,,,,,,"Notes",5
2022-08-10,kgs,b,90,125,3,555,,,,77.5,0,000,,,,80,3,33310,,,,,,,,,,"Row 5 x 2",5
2022-08-12,kgs,a,90,140,3,555,,,,77.5,3,555,,,,90,5,33333,,,,,,,,,,"Row 5 x 3",5
2022-08-17,kgs,b,90,100,3,555,,,,60,3,555,120,1,5,,,,,,,,,,,,,"Tykkilavettisimulaatio x 6",5
2022-08-22,kgs,a,90,125,3,555,50,3,555,,,,,,,80,5,33333,,,,,,,,,,"Row 5 x 3",5
2022-08-24,kgs,b,90,60,3,555,,,,80,3,555,155,1,5,,,,,,,,,,,,,"Front squat",5
2022-09-04,kgs,a,90,125,3,555,50,3,555,,,,150,1,5,,,,,,,,,,,,,"Pull up 5 x 3 @ 10 kg",5
2022-09-06,kgs,b,90,130,3,555,,,,80,3,555,,,,82.5,5,33333,,,,,,,,,,"Row 5 x 3",5
2022-09-11,kgs,a1,90,80,3,555,51.25,0,000,,,,160,1,5,,,,,,,,,,,,,"Front squat
Pull up 5 x 3 @ +0 kg",6
2022-09-18,kgs,a,92,130,3,555,,,,85,3,555,165,1,5,,,,,,,,,,,,,"Notes",5
2022-11-18,kgs,a,92,110,3,555,,,,80,3,555,140,1,5,,,,,,,,,,,,,"Notes",5
2023-01-06,kgs,b,92,80,3,555,,,,70,3,555,130,1,5,,,,,,,,,,,,,"Notes",5
2023-01-11,kgs,a,92,90,3,555,,,,72.5,3,555,135,1,5,,,,,,,,,,,,,"SQ +10 kg, BP +2,5 kg, DL +5 kg",3
2023-01-15,kgs,a,92,95,3,555,,,,75,3,555,140,1,5,,,,,,,,,,,,,"SQ +5 kg, BP +2,5 kg, DL +5 kg",5
